Epoch   1/300 | Total   1.5274 | CE   1.4104 | KL   1.1705
Epoch   2/300 | Total   0.8986 | CE   0.6965 | KL   1.9616
Epoch   3/300 | Total   0.6892 | CE   0.4432 | KL   2.3207
Epoch   4/300 | Total   0.6159 | CE   0.3515 | KL   2.4255
Epoch   5/300 | Total   0.5531 | CE   0.2714 | KL   2.5157
Epoch   6/300 | Total   0.5302 | CE   0.2382 | KL   2.5390
Epoch   7/300 | Total   0.5123 | CE   0.2130 | KL   2.5360
Epoch   8/300 | Total   0.5038 | CE   0.1978 | KL   2.5290
Epoch   9/300 | Total   0.4956 | CE   0.1832 | KL   2.5194
Epoch  10/300 | Total   0.4918 | CE   0.1732 | KL   2.5085
Epoch  11/300 | Total   0.4923 | CE   0.1673 | KL   2.4997
Epoch  12/300 | Total   0.4886 | CE   0.1585 | KL   2.4817
Epoch  13/300 | Total   0.4887 | CE   0.1530 | KL   2.4684
Epoch  14/300 | Total   0.4857 | CE   0.1442 | KL   2.4571
Epoch  15/300 | Total   0.4873 | CE   0.1399 | KL   2.4460
Epoch  16/300 | Total   0.4867 | CE   0.1337 | KL   2.4345
Epoch  17/300 | Total   0.4894 | CE   0.1302 | KL   2.4272
Epoch  18/300 | Total   0.4907 | CE   0.1261 | KL   2.4150
Epoch  19/300 | Total   0.4940 | CE   0.1234 | KL   2.4066
Epoch  20/300 | Total   0.4963 | CE   0.1204 | KL   2.3939
Epoch  21/300 | Total   0.5056 | CE   0.1235 | KL   2.3882
Epoch  22/300 | Total   0.5038 | CE   0.1177 | KL   2.3687
Epoch  23/300 | Total   0.5110 | CE   0.1191 | KL   2.3607
Epoch  24/300 | Total   0.5132 | CE   0.1158 | KL   2.3511
Epoch  25/300 | Total   0.5173 | CE   0.1149 | KL   2.3392
Epoch  26/300 | Total   0.5236 | CE   0.1158 | KL   2.3304
Epoch  27/300 | Total   0.5285 | CE   0.1148 | KL   2.3237
Epoch  28/300 | Total   0.5345 | CE   0.1158 | KL   2.3137
Epoch  29/300 | Total   0.5409 | CE   0.1160 | KL   2.3092
Epoch  30/300 | Total   0.5465 | CE   0.1165 | KL   2.2993
Epoch  31/300 | Total   0.5510 | CE   0.1158 | KL   2.2910
Epoch  32/300 | Total   0.5566 | CE   0.1169 | KL   2.2783
Epoch  33/300 | Total   0.5620 | CE   0.1168 | KL   2.2717
Epoch  34/300 | Total   0.5703 | CE   0.1193 | KL   2.2663
Epoch  35/300 | Total   0.5740 | CE   0.1187 | KL   2.2539
Epoch  36/300 | Total   0.5788 | CE   0.1180 | KL   2.2478
Epoch  37/300 | Total   0.5839 | CE   0.1178 | KL   2.2409
Epoch  38/300 | Total   0.5917 | CE   0.1200 | KL   2.2353
Epoch  39/300 | Total   0.5945 | CE   0.1187 | KL   2.2232
Epoch  40/300 | Total   0.6024 | CE   0.1212 | KL   2.2175
Epoch  41/300 | Total   0.6080 | CE   0.1213 | KL   2.2121
Epoch  42/300 | Total   0.6133 | CE   0.1219 | KL   2.2035
Epoch  43/300 | Total   0.6164 | CE   0.1201 | KL   2.1959
Epoch  44/300 | Total   0.6241 | CE   0.1228 | KL   2.1892
Epoch  45/300 | Total   0.6294 | CE   0.1235 | KL   2.1807
