Epoch   1/300 | Total   0.8751 | CE   0.7911 | KL   0.8407
Epoch   2/300 | Total   0.4925 | CE   0.3520 | KL   1.3638
Epoch   3/300 | Total   0.4102 | CE   0.2458 | KL   1.5509
Epoch   4/300 | Total   0.3842 | CE   0.2109 | KL   1.5897
Epoch   5/300 | Total   0.3727 | CE   0.1932 | KL   1.6030
Epoch   6/300 | Total   0.3653 | CE   0.1813 | KL   1.6006
Epoch   7/300 | Total   0.3606 | CE   0.1728 | KL   1.5914
Epoch   8/300 | Total   0.3563 | CE   0.1651 | KL   1.5798
Epoch   9/300 | Total   0.3545 | CE   0.1597 | KL   1.5713
Epoch  10/300 | Total   0.3530 | CE   0.1544 | KL   1.5636
Epoch  11/300 | Total   0.3519 | CE   0.1494 | KL   1.5575
Epoch  12/300 | Total   0.3504 | CE   0.1447 | KL   1.5467
Epoch  13/300 | Total   0.3490 | CE   0.1393 | KL   1.5416
Epoch  14/300 | Total   0.3479 | CE   0.1346 | KL   1.5348
Epoch  15/300 | Total   0.3461 | CE   0.1295 | KL   1.5249
Epoch  16/300 | Total   0.3469 | CE   0.1264 | KL   1.5208
Epoch  17/300 | Total   0.3475 | CE   0.1241 | KL   1.5099
Epoch  18/300 | Total   0.3491 | CE   0.1226 | KL   1.4999
Epoch  19/300 | Total   0.3503 | CE   0.1204 | KL   1.4928
Epoch  20/300 | Total   0.3520 | CE   0.1188 | KL   1.4850
Epoch  21/300 | Total   0.3551 | CE   0.1190 | KL   1.4757
Epoch  22/300 | Total   0.3571 | CE   0.1179 | KL   1.4673
Epoch  23/300 | Total   0.3591 | CE   0.1166 | KL   1.4605
Epoch  24/300 | Total   0.3617 | CE   0.1168 | KL   1.4490
Epoch  25/300 | Total   0.3640 | CE   0.1157 | KL   1.4438
Epoch  26/300 | Total   0.3666 | CE   0.1154 | KL   1.4356
Epoch  27/300 | Total   0.3696 | CE   0.1155 | KL   1.4276
Epoch  28/300 | Total   0.3722 | CE   0.1150 | KL   1.4205
Epoch  29/300 | Total   0.3759 | CE   0.1156 | KL   1.4148
Epoch  30/300 | Total   0.3787 | CE   0.1153 | KL   1.4085
Epoch  31/300 | Total   0.3806 | CE   0.1147 | KL   1.3997
